City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,cabo san lucas,22.8909,-109.9124,27.51,79,10,0.89,MX,1687683601
30,vao,-22.6667,167.4833,20.91,65,18,6.76,NC,1687683644
31,portsmouth,50.799,-1.0913,25.1,66,22,5.47,GB,1687683645
32,tasiilaq,65.6145,-37.6368,3.09,100,100,1.13,GL,1687683645
33,bathurst,-33.4166,149.5806,3.87,75,2,1.52,AU,1687683645
34,zhigansk,66.7697,123.3711,21.06,36,82,1.57,RU,1687683645
35,barrow,71.2906,-156.7887,4.01,81,40,4.12,US,1687683646
36,yuzhou,34.1628,113.4639,33.63,30,55,3.65,CN,1687683646
37,lazo,43.3817,133.9014,26.76,66,27,1.95,RU,1687683646
38,nikolskoye,59.7035,30.7861,22.11,42,7,0.95,RU,1687683647
39,norman wells,65.282,-126.8329,15.02,51,20,4.63,CA,1687683647
40,saldanha,-33.0117,17.9442,14.03,88,0,6.74,ZA,1687683647
41,sena madureira,-9.0656,-68.6569,24.81,79,100,0.65,BR,1687683647
42,kodiak,57.79,-152.4072,8.36,97,100,13.05,US,1687683648
43,nouadhibou,20.931,-17.0347,20.99,83,0,7.2,MR,1687683648
44,mahebourg,-20.4081,57.7,24.58,100,75,4.12,MU,1687683648
45,codrington,-38.2667,141.9667,10.64,83,68,6.16,AU,1687683648
46,roald,62.5833,6.1333,20.18,63,0,2.57,NO,1687683649
47,shumskiy,54.8318,99.1328,14.9,91,100,4.33,RU,1687683649
48,cayenne,4.9333,-52.3333,24.02,94,0,0.51,GF,1687683613
49,chuy,-33.6971,-53.4616,14.96,97,100,2.21,UY,1687683649
50,lenger,42.183,69.8839,24.69,11,100,4.22,KZ,1687683650
51,pathein,16.7833,94.7333,27.8,84,100,3.88,MM,1687683650
52,guasave,25.5667,-108.45,27.22,81,92,3.47,MX,1687683650
53,ilulissat,69.2167,-51.1,3.01,87,75,3.6,GL,1687683651
54,thompson,55.7435,-97.8558,18.09,55,75,2.57,CA,1687683651
55,broken hill,-31.95,141.4333,9.9,43,5,4.87,AU,1687683651
56,cuamba,-14.8031,36.5372,24.74,35,0,1.32,MZ,1687683651
57,altay,47.8667,88.1167,19.97,41,89,5.86,CN,1687683651
58,kununurra,-15.7667,128.7333,30.99,45,14,3.09,AU,1687683652
59,bandundu,-3.3167,17.3667,30.93,43,85,1.67,CD,1687683652
60,cherskiy,68.75,161.3,13.0,55,39,4.33,RU,1687683653
61,san blas,21.5167,-105.2667,26.35,83,20,2.26,MX,1687683653
62,maceio,-9.6658,-35.7353,23.69,100,75,2.57,BR,1687683653
63,lasem,-6.6922,111.4527,28.01,74,0,4.83,ID,1687683653
64,mandalgovi,45.7625,106.2708,25.48,29,69,2.27,MN,1687683654
65,busselton,-33.65,115.3333,12.34,70,28,10.75,AU,1687683654
66,hithadhoo,-0.6,73.0833,27.93,75,100,5.85,MV,1687683655
67,manta,-0.95,-80.7333,26.67,89,75,8.05,EC,1687683655
68,chokurdakh,70.6333,147.9167,23.53,39,75,2.83,RU,1687683655
69,tucuman,-26.8241,-65.2226,10.0,100,0,2.06,AR,1687683655
70,thurso,58.5927,-3.5259,16.14,87,100,8.83,GB,1687683656
71,awjilah,29.1081,21.2869,32.46,24,0,0.46,LY,1687683656
72,sitka,57.0531,-135.33,12.02,96,100,0.71,US,1687683656
73,tinskoy,56.1525,96.9161,18.5,64,100,6.2,RU,1687683656
74,guanica,17.9716,-66.908,26.21,64,68,1.65,PR,1687683657
75,fortuna,40.5982,-124.1573,12.59,96,100,0.0,US,1687683657
76,pevek,69.7008,170.3133,0.45,90,2,4.69,RU,1687683657
77,jamestown,42.097,-79.2353,17.06,81,100,0.0,US,1687683657
78,manavalakurichi,8.1333,77.3,31.41,53,100,6.67,IN,1687683658
79,arraial do cabo,-22.9661,-42.0278,16.42,72,100,1.26,BR,1687683658
80,carnarvon,-24.8667,113.6333,17.97,62,97,5.18,AU,1687683658
81,longyearbyen,78.2186,15.6401,3.91,87,100,4.12,SJ,1687683659
82,port elizabeth,-33.918,25.5701,15.17,97,100,6.17,ZA,1687683659
83,coahuayana,18.7333,-103.6833,25.22,84,75,1.59,MX,1687683660
84,gorontalo,0.5412,123.0595,26.98,93,100,0.2,ID,1687683660
85,punta arenas,-53.15,-70.9167,-0.94,100,40,2.57,CL,1687683660
86,baracoa,20.3467,-74.4958,27.98,80,24,7.39,CU,1687683661
87,bredasdorp,-34.5322,20.0403,11.92,93,100,6.75,ZA,1687683661
88,mataura,-46.1927,168.8643,8.55,95,100,0.52,NZ,1687683661
89,kraslava,55.8951,27.168,21.54,43,98,4.1,LV,1687683662
90,havelock,34.8791,-76.9013,24.97,88,0,3.09,US,1687683608
91,rafai,4.95,23.9167,25.97,71,97,1.44,CF,1687683663
92,kahului,20.8947,-156.47,24.36,81,29,3.13,US,1687683663
93,port hardy,50.6996,-127.4199,10.0,100,0,1.03,CA,1687683664
94,chato,-2.6378,31.7669,27.18,32,26,3.08,TZ,1687683665
95,abis,9.7173,122.9438,24.61,95,100,0.75,PH,1687683665
96,hamilton,39.1834,-84.5333,20.55,88,20,2.57,US,1687683499
97,tazovskiy,67.4667,78.7,12.2,55,100,6.15,RU,1687683665
98,leningradskiy,69.3833,178.4167,1.32,89,57,3.39,RU,1687683666
99,big rapids,43.6981,-85.4837,16.62,94,40,1.54,US,1687683666
100,east london,-33.0153,27.9116,15.52,77,20,1.03,ZA,1687683666
101,arica,-18.475,-70.3042,18.13,72,100,1.54,CL,1687683573
102,kapiri mposhi,-13.9652,28.6809,21.41,35,0,4.03,ZM,1687683667
103,lazaro cardenas,17.9583,-102.2,26.88,82,100,1.44,MX,1687683667
104,new norfolk,-42.7826,147.0587,9.28,86,100,1.96,AU,1687683667
105,hurghada,27.2574,33.8129,33.02,24,0,6.69,EG,1687683667
106,cartersville,34.1651,-84.7999,21.73,89,100,0.0,US,1687683668
107,huarmey,-10.0681,-78.1522,19.76,88,26,1.86,PE,1687683668
108,airai,-8.9266,125.4092,18.59,80,77,0.73,TL,1687683668
109,georgetown,5.4112,100.3354,32.19,71,20,4.12,MY,1687683448
110,naze,28.3667,129.4833,26.51,86,100,3.48,JP,1687683665
111,tessalit,20.1986,1.0114,33.51,33,38,9.19,ML,1687683669
112,kyabram,-36.3167,145.05,11.88,60,100,6.86,AU,1687683669
113,marawi,7.9986,124.2928,22.63,95,100,1.1,PH,1687683669
114,vardo,70.3705,31.1107,8.99,93,100,3.09,NO,1687683670
115,kapaa,22.0752,-159.319,24.5,72,79,2.24,US,1687683670
116,tezu,27.9167,96.1667,34.22,58,44,1.7,IN,1687683670
117,naustdal,61.509,5.7168,22.98,61,64,1.03,NO,1687683670
118,agirish,61.9247,63.0231,15.42,34,99,3.82,RU,1687683671
119,katsuura,35.1333,140.3,23.49,85,78,2.14,JP,1687683671
120,sur,22.5667,59.5289,33.32,57,8,6.04,OM,1687683671
121,zhmerynka,49.037,28.112,19.38,81,100,3.45,UA,1687683518
122,quatre cocos,-20.2078,57.7625,24.49,73,47,6.76,MU,1687683672
123,ribeira grande,38.5167,-28.7,20.43,88,40,2.68,PT,1687683672
124,negara,-8.3151,114.6025,27.27,71,24,1.72,ID,1687683672
125,marsh harbour,26.5412,-77.0636,27.03,79,100,5.5,BS,1687683673
126,chern,53.4523,36.9145,19.88,53,78,4.65,RU,1687683673
127,kaitangata,-46.2817,169.8464,8.58,93,99,1.3,NZ,1687683673
128,port alfred,-33.5906,26.891,17.32,86,90,4.84,ZA,1687683673
129,kalmunai,7.4167,81.8167,31.64,63,97,5.49,LK,1687683674
130,ladario,-19.0047,-57.6017,18.35,59,0,1.19,BR,1687683674
131,olafsvik,64.8945,-23.7142,9.71,95,100,1.37,IS,1687683674
132,solwezi,-12.1688,26.3894,21.12,40,11,3.69,ZM,1687683675
133,svetlogorsk,52.6333,29.7333,17.98,80,100,4.14,BY,1687683675
134,cape town,-33.9258,18.4232,17.29,70,20,6.71,ZA,1687683525
135,voh,-20.9667,164.7,18.52,82,73,1.72,NC,1687683676
136,lata,40.1629,-8.3327,21.56,48,1,1.93,PT,1687683676
137,arman,59.7,150.1667,16.68,88,100,1.86,RU,1687683676
138,komsomolskiy,40.4272,71.7189,29.4,21,76,6.17,UZ,1687683676
139,constitucion,-35.3333,-72.4167,13.61,99,100,8.85,CL,1687683613
140,aguie,13.506,7.7786,28.88,52,93,4.8,NE,1687683677
141,guerrero negro,27.9769,-114.0611,16.63,85,9,6.41,MX,1687683677
142,mirador,-6.3708,-44.3631,20.46,76,11,2.73,BR,1687683677
143,buala,-8.145,159.5921,27.04,85,100,5.53,SB,1687683678
144,qaanaaq,77.484,-69.3632,-0.37,89,75,2.59,GL,1687683678
145,samarai,-10.6167,150.6667,26.17,76,63,7.45,PG,1687683678
146,avera,33.194,-82.5271,19.73,72,0,2.96,US,1687683678
147,tuktoyaktuk,69.4541,-133.0374,9.58,56,40,5.76,CA,1687683678
148,shimoda,34.6667,138.95,25.2,86,100,3.04,JP,1687683679
149,palu,-0.8917,119.8707,26.94,93,100,0.9,ID,1687683679
150,severo-kurilsk,50.6789,156.125,8.13,94,94,6.06,RU,1687683679
151,farafangana,-22.8167,47.8333,21.09,62,14,3.3,MG,1687683680
152,coquimbo,-29.9533,-71.3436,10.85,100,0,1.54,CL,1687683422
153,prince rupert,54.3161,-130.3201,12.83,96,20,3.09,CA,1687683680
154,xining,36.6167,101.7667,13.34,79,44,11.25,CN,1687683613
155,saint george,37.1041,-113.5841,21.33,12,0,2.57,US,1687683588
